_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_label,label_gold,label_gold_reason,word1,word2
1143392935,0.40,15,false,It is like : many and badly... how can i decide that this is &quot;antonym&quot;??,0.0667,,"","antonym
other","",plenty,poorly
1143392957,0.12,16,false,"",0.0,,"",unrelated,"",even,glib
1143393033,0.64,14,false,"",0.0,,"",other,"",easy,leisurely
1143393106,0.00,13,false,"",0.0,,"","unrelated
other","",compatible,patronise
1143393167,0.10,10,false,"",0.0,,"","unrelated
other","",long,hatful
1143393283,0.36,11,false,"",0.0,,"","antonym
other",appropriate decision vs. flawed decision,appropriate,flaw
1143393334,0.14,7,false,"",0.0,,"",unrelated,"",right,ill-timed
1143393378,0.30,10,false,"",0.0,,"",unrelated,They are unrelated pairs,slowly,terrible
1143393540,0.27,15,false,"",0.0667,,"","antonym
unrelated
other",weak relationship vs. sound relationship,weak,sound
1143393564,0.78,9,false,"",0.0,,"",antonym,"",sufficiency,limited
1143393592,0.15,13,false,"",0.0,,"",unrelated,"",no,neutralize
1143393618,0.47,15,false,"It is a synonym, since it has the similar meaning.",0.0667,,"",other,Similar meaning,difficult,harsh
1143393636,0.20,10,false,"",0.0,,"",antonym,"",irrelevant,substantial
1143393689,0.25,12,false,"",0.0,,"",unrelated,"",scarce,huh
1143393726,0.11,9,false,"",0.1111,,"","unrelated
other","",properly,handsome
1143393800,0.64,11,false,"",0.0,,"",other,Similar meaning,bad,cunning
1143393840,0.80,5,false,"",0.0,,"",antonym,pattern <-> usual,unusual,pattern
1143393867,0.33,12,false,"",0.0,,"",antonym,"",innocuous,noxious
1143393902,0.57,14,false,"",0.0,,"",other,Similar meaning,turnabout,obverse
1143393949,0.60,5,false,"",0.0,,"",antonym,"",immorality,good
1143393970,0.50,8,false,"",0.0,,"",unrelated,"",well,gloomy
1143394012,0.14,7,false,"",0.1429,,"","antonym
unrelated
other","",undefined,determine
1143394053,0.33,3,false,"",0.0,,"",other,Similar meaning,accurate,TRUE
1143394085,1.00,3,false,"",0.0,,"",other,"",compatible,sustain
1143394128,0.22,9,false,"",0.0,,"","unrelated
other",Not exactly antonyms but have some other relationship,mediocre,wrong
1143394221,0.00,2,false,"",0.0,,"","unrelated
other",Could be other or unrelated - Tardiness could be impractical,impractical,tardily
1143394225,0.00,6,false,"",0.0,,"",antonym,"",unserviceable,serviceable
1143394241,0.00,4,false,"",0.0,,"","unrelated
other","",pretend,good
1143394298,0.33,3,false,"",0.0,,"",unrelated,"",level,anymore
1143394340,0.50,4,false,"",0.0,,"",other,Similar meaning,sufficiency,satisfactory
1143394359,0.00,4,false,"",0.0,,"","unrelated
other","",effective,hard
1143394370,0.43,7,false,"",0.0,,"",antonym,"",tie,untie
1143394425,0.25,4,false,"",0.0,,"",antonym,"",satisfactory,unbearable
1143394578,0.25,4,false,"",0.0,,"","unrelated
other",Could have a relationship like lightly want something vs yearn for something,lightly,yearn
1143394590,1.00,4,false,"",0.0,,"",antonym,outcome and consequence mean same thing so outcome and inconsequence are antonyms,outcome,inconsequence
1143394607,1.00,2,false,"",0.0,,"",other,"",horrible,correct
1143394626,0.29,7,false,"",0.0,,"",unrelated,"",generally,long
1143394676,1.00,5,false,"",0.0,,"",antonym,Coruscate - flashing or sparkling vs still,coruscate,still
1143394689,0.00,4,false,"",0.0,,"",unrelated,"",dirty,ripe
1143394698,0.00,3,false,"",0.0,,"",unrelated,"",d,personify
1143394725,0.29,7,false,"",0.0,,"",unrelated,"",easily,wrongly
1143607475,0.67,3,false,"",0.0,,"",unrelated,"",powerful,somewhat
1143607482,0.67,3,false,"",0.0,,"",unrelated,"",compatible,patronize
1143607486,0.00,5,false,"",0.0,,"",unrelated,"",there,back
1143607495,0.00,1,false,"",0.0,,"",unrelated,"",unvoiced,tough
1146590713,0.33,3,false,"",0.0,,"",unrelated,"",powerful,somewhat
1146590815,1.00,2,false,"",0.0,,"",unrelated,"",powerful,somewhat
1146590835,0.00,2,false,"",0.0,,"",unrelated,"",compatible,patronize
1146590838,0.00,1,false,"",0.0,,"",unrelated,"",there,back
1146590973,1.00,3,false,"",0.0,,"","antonym
other","",unvoiced,tough
1146591016,0.00,0,false,"",0,,"",unrelated,"",painful,near
1146591039,0.33,3,false,"",0.0,,"",unrelated,"",one-time,later
1146591107,1.00,1,false,"",0.0,,"",antonym,"",disingenuous,TRUE
1146591115,0.00,1,false,"",0.0,,"",unrelated,"",cold,easily
1146591485,0.33,3,false,"",0.0,,"",unrelated,"",powerful,somewhat
1146591512,0.00,1,false,"",0.0,,"",unrelated,"",compatible,patronize
1146591526,1.00,1,false,"",0.0,,"",unrelated,"",there,back
1146591541,0.00,0,false,"",0,,"","antonym
other","",unvoiced,tough
1146591547,0.50,2,false,"",0.0,,"",unrelated,"",painful,near
1146591572,0.33,3,false,"",0.0,,"",unrelated,"",one-time,later
1146591581,0.00,2,false,"",0.0,,"",antonym,"",disingenuous,TRUE
1146591583,1.00,1,false,"",0.0,,"",unrelated,"",cold,easily
1146591591,0.00,0,false,"",0,,"","paraphrase
other","",accurate,right
1146591597,0.00,1,false,"",0.0,,"",antonym,"",harmful,healthy
1146591606,0.00,1,false,"",0.0,,"",unrelated,"",scarce,huh
1146591633,0.00,1,false,"",0.0,,"",unrelated,"",hanker,shortly
1146591639,0.00,2,false,"",0.0,,"",unrelated,"",designate,even
1146591643,0.00,1,false,"",0.0,,"",unrelated,"",allow,rude
1146591649,0.50,2,false,"",0.0,,"",unrelated,"",merely,want
1146591677,0.00,1,false,"",0.0,,"",unrelated,"",discourtesy,defence
1146591692,0.67,3,false,"",0.0,,"",unrelated,"",sole,certainly
1146591697,0.50,2,false,"",0.0,,"",unrelated,"",relevant,debate
1146591724,0.00,0,false,"",0,,"",unrelated,"",relevant,debate
1146591727,0.00,3,false,"",0.0,,"",antonym,"",irreplaceable,replaceable
1146591729,0.00,3,false,"",0.0,,"",unrelated,"",total,go
1146591736,0.00,2,false,"",0.0,,"",unrelated,"",comfortably,down
1146591737,0.00,2,false,"",0.0,,"",unrelated,"",safe,item
1146591772,0.00,1,false,"",0.0,,"",unrelated,"",refrain,matchless
1146591779,0.00,1,false,"",0.0,,"",antonym,"",bad,favourable
1146591787,0.25,4,false,"",0.0,,"",unrelated,"",bad,occupy
1146591789,1.00,1,false,"",0.0,,"",unrelated,"",adequately,strong
1146591792,0.33,3,false,"",0.0,,"",unrelated,"",straightaway,over
1146591794,0.00,1,false,"",0.0,,"",unrelated,"",lonesome,fail
1146591798,0.00,3,false,"",0.0,,"",unrelated,"",sparse,foresighted
1146591800,0.00,0,false,"",0,,"",unrelated,"",bod,ground
1146591804,0.00,1,false,"",0.0,,"",unrelated,"",dire,promiscuous
1146591806,0.00,1,false,"",0.0,,"",unrelated,"",sick,compensate
1146591812,0.00,1,false,"",0.0,,"",unrelated,"",considerably,gonna
1146591816,0.50,2,false,"",0.0,,"",antonym,"",correctly,mistaken
1146591821,0.00,3,false,"",0.0,,"",unrelated,"",no,decease
1146591824,0.00,0,false,"",0,,"",unrelated,"",scummy,as
1146591842,0.00,0,false,"",0,,"","unrelated
other","",hardworking,loose
1146591848,0.25,4,false,"",0.0,,"",unrelated,"",manage,today
1146591893,0.00,2,false,"",0.0,,"","antonym
unrelated","",estimable,hurt
1146591906,0.00,2,false,"",0.0,,"",antonym,"",differ,same
1146591964,0.00,1,false,"",0.0,,"",unrelated,"",overpriced,brassy
1146591971,0.00,1,false,"",0.0,,"",unrelated,"",solely,best
1146591973,0.00,1,false,"",0.0,,"",unrelated,"",nonetheless,yes
1146591986,0.00,0,false,"",0,,"",other,"",decently,fair
1146592022,0.00,1,false,"",0.0,,"","unrelated
other","",hunt,hither
1146592026,0.00,1,false,"",0.0,,"",unrelated,"",l,equal
1146592034,0.67,3,false,"",0.0,,"",unrelated,"",rude,loose
1146592041,0.33,3,false,"",0.0,,"",unrelated,"",ulterior,ago
1146592050,0.33,3,false,"",0.0,,"","antonym
unrelated","",ulterior,ago
1146592054,0.00,2,false,"",0.0,,"",unrelated,"",l,ingest
1146592060,0.00,2,false,"",0.0,,"",antonym,"",unsuitable,ideal
1146592064,0.00,1,false,"",0.0,,"",unrelated,"",evenhandedly,bad
1146592070,0.00,1,false,"",0.0,,"",antonym,"",finale,start
1146592079,1.00,5,false,"",0.0,,"",antonym,"",excessively,thinly
1146592097,0.00,0,false,"",0,,"","antonym
unrelated","",speculative,right
1146592125,0.00,2,false,"",0.0,,"",unrelated,"",keister,allow
1146592132,0.33,3,false,"",0.0,,"",unrelated,"",big,correct
1146592140,0.00,1,false,"",0.0,,"",antonym,"",counterfeit,honest
1146592146,0.75,4,false,"",0.0,,"",antonym,"",useful,fruitless
1146592164,0.00,0,false,"",0,,"","unrelated
other","",disconcert,good
1146592172,0.00,1,false,"",0.0,,"",unrelated,"",less,static
1146592195,0.80,5,false,"",0.0,,"",unrelated,"",spiteful,skilful
1146592208,0.00,1,false,"",0.0,,"",antonym,"",wildness,tameness
1146592236,0.00,1,false,"",0.0,,"","antonym
unrelated","",incorrect,decently
1146592277,0.00,1,false,"",0.0,,"","antonym
unrelated","",problematic,available
1146594356,0.00,1,false,"",0.0,,"","antonym
category","",monoecious,dioecious
1146594370,0.50,2,false,"",0.0,,"",antonym,"",pervert,conform
1146594400,0.00,2,false,"",0.0,,"",unrelated,"",well,thin
1146594414,0.00,1,false,"",0.0,,"",unrelated,"",scarce,fountainhead
1146594478,0.00,1,false,"",0.0,,"","antonym
unrelated","",skilful,unfortunate
1146594526,1.00,2,false,"",0.0,,"",unrelated,"",shameful,right
1146594556,0.50,4,false,"",0.0,,"",paraphrase,"",symbolise,representation
1146594603,0.50,2,false,"",0.0,,"",antonym,"",efficient,unable
1146594686,0.50,2,false,"",0.0,,"","entailment
other","",everybody,totally
1146594698,0.00,0,false,"",0,,"",unrelated,"",well,ill-timed
1146594701,1.00,1,false,"",0.0,,"",unrelated,"",decent,indefensible
1146594705,1.00,1,false,"",0.0,,"",unrelated,"",tight,well-to-do
1146594710,0.50,2,false,"",0.0,,"",unrelated,"",loose,inconvenient
1146594714,0.00,0,false,"",0,,"","unrelated
other","",loose,inconvenient
1146594743,0.00,1,false,"",0.0,,"",antonym,"",extricate,entangle
1146594772,0.00,4,false,"",0.0,,"",unrelated,"",generally,long
1146594837,1.00,1,false,"",0.0,,"",antonym,"",nonpartisanship,partiality
1146594845,0.33,3,false,"",0.0,,"",category,"",flora,fauna
1146594909,0.00,2,false,"",0.0,,"","unrelated
other","",qualify,uncertain
1146594933,0.00,1,false,"",0.0,,"","paraphrase
other","",unmanageable,hard
1146594946,0.00,4,false,"",0.0,,"",antonym,"",permissible,intolerable
1146594968,1.00,1,false,"",0.0,,"","antonym
unrelated","",find,indeterminate
1146595016,1.00,1,false,"",0.0,,"",antonym,"",obtuseness,brightness
1146595060,0.00,0,false,"",0,,"","unrelated
other","",hard-pressed,ripe
1146595083,0.00,1,false,"",0.0,,"","unrelated
other","",applicable,vacancy
1146595095,0.50,2,false,"",0.0,,"","antonym
unrelated","",rarely,readily
1146595133,0.00,0,false,"",0,,"","unrelated
other","",frantic,happy
1146595171,1.00,1,false,"",0.0,,"","antonym
other","",respectable,hurtful
1146595180,1.00,1,false,"",0.0,,"",antonym,"",sufficiency,underemployment
1146595196,0.00,0,false,"",0,,"","antonym
other","",unclear,experience
1146595230,0.00,0,false,"",0,,"","unrelated
other","",gentle,complex
1146595256,0.00,2,false,"",0.0,,"","antonym
unrelated
other","",gentle,complex
1146595285,0.00,2,false,"",0.0,,"","entailment
paraphrase
other","",easygoing,easily
1146595320,0.00,0,false,"",0,,"","paraphrase
other","",justly,alright
1146595346,0.00,0,false,"",0,,"",paraphrase,"",fairly,well
1146595359,1.00,1,false,"",0.0,,"",antonym,"",unusual,pattern
1146597510,0.67,3,false,"",0.0,,"","entailment
paraphrase
other","",unspoiled,nice
1146597529,0.00,0,false,"",0,,"","antonym
other","",barely,available
